"sub.id" "task.id" "Bas.run1" "Pro.run1" "Rea.run1" "Bas.run2" "Pro.run2" "Rea.run2"
"179" "DMCC6671683" "Stern" "11-03-2017" "11-10-2017" "11-16-2017" "11-03-2017" "11-10-2017" "11-16-2017"
"180" "DMCC6671683" "Stroop" "11-03-2017" "11-10-2017" "11-16-2017" "11-03-2017" "11-10-2017" "11-16-2017"
"181" "DMCC6705371" "Axcpt" "04-13-2018" "04-15-2018" "04-14-2018" "04-13-2018" "04-15-2018" "04-14-2018"
"182" "DMCC6705371" "Cuedts" "04-13-2018" "04-15-2018" "04-14-2018" "04-13-2018" "04-15-2018" "04-14-2018"
"183" "DMCC6705371" "Stern" "04-13-2018" "04-15-2018" "04-14-2018" "04-13-2018" "04-15-2018" "04-14-2018"
"184" "DMCC6705371" "Stroop" "04-13-2018" "04-15-2018" "04-14-2018" "04-13-2018" "04-15-2018" "04-14-2018"
"185" "DMCC6721369" "Axcpt" "07-13-2018" "07-29-2018" "07-20-2018" "07-13-2018" "07-29-2018" "07-20-2018"
"186" "DMCC6721369" "Cuedts" "07-13-2018" "07-29-2018" "07-20-2018" "07-13-2018" "07-29-2018" "07-20-2018"
"187" "DMCC6721369" "Stern" "07-13-2018" "07-29-2018" "07-20-2018" "07-13-2018" "07-29-2018" "07-20-2018"
"188" "DMCC6721369" "Stroop" "07-13-2018" "07-29-2018" "07-20-2018" "07-13-2018" "07-29-2018" "07-20-2018"
"189" "DMCC8033964" "Axcpt" "05-25-2018" "05-31-2018" "05-28-2018" "05-25-2018" "05-31-2018" "05-28-2018"
"190" "DMCC8033964" "Cuedts" "05-25-2018" "05-31-2018" "05-28-2018" "05-25-2018" "05-31-2018" "05-28-2018"
"191" "DMCC8033964" "Stern" "05-25-2018" "05-31-2018" "05-28-2018" "05-25-2018" "05-31-2018" "05-28-2018"
"192" "DMCC8033964" "Stroop" "05-25-2018" "05-31-2018" "05-28-2018" "05-25-2018" "05-31-2018" "05-28-2018"
"193" "DMCC8260571" "Axcpt" "03-02-2019" "03-17-2019" "03-15-2019" "03-02-2019" "03-17-2019" "03-15-2019"
"194" "DMCC8260571" "Cuedts" "03-02-2019" "03-17-2019" "03-15-2019" "03-02-2019" "03-17-2019" "03-15-2019"
"195" "DMCC8260571" "Stern" "03-02-2019" "03-17-2019" "03-15-2019" "03-02-2019" "03-17-2019" "03-15-2019"
"196" "DMCC8260571" "Stroop" "03-02-2019" "03-17-2019" "03-15-2019" "03-02-2019" "03-17-2019" "03-15-2019"
"197" "DMCC8760894" "Axcpt" "03-07-2020" NA NA "03-07-2020" NA NA
"198" "DMCC8760894" "Cuedts" "03-07-2020" NA NA "03-07-2020" NA NA
"199" "DMCC8760894" "Stern" "03-07-2020" NA NA "03-07-2020" NA NA
"200" "DMCC8760894" "Stroop" "03-07-2020" NA NA "03-07-2020" NA NA
"201" "DMCC9441378" "Axcpt" "10-07-2018" "10-15-2018" "10-12-2018" "10-07-2018" "10-15-2018" "10-12-2018"
"202" "DMCC9441378" "Cuedts" "10-07-2018" "10-15-2018" "10-12-2018" "10-07-2018" "10-15-2018" "10-12-2018"
"203" "DMCC9441378" "Stern" "10-07-2018" "10-15-2018" "10-12-2018" "10-07-2018" "10-15-2018" "10-12-2018"
"204" "DMCC9441378" "Stroop" "10-07-2018" "10-15-2018" "10-12-2018" "10-07-2018" "10-15-2018" "10-12-2018"
"205" "DMCC9478705" "Axcpt" "01-06-2018" "02-07-2018" "01-08-2018" "01-06-2018" "02-07-2018" "01-08-2018"
"206" "DMCC9478705" "Cuedts" "01-06-2018" "02-07-2018" "01-08-2018" "01-06-2018" "02-07-2018" "01-08-2018"
"207" "DMCC9478705" "Stern" "01-06-2018" "02-07-2018" "01-08-2018" "01-06-2018" "02-07-2018" "01-08-2018"
"208" "DMCC9478705" "Stroop" "01-06-2018" "02-07-2018" "01-08-2018" "01-06-2018" "02-07-2018" "01-08-2018"
